Entry	KEGG	Entry name	Protein names	Gene names	Gene ontology IDs
A9S3G7	PHYPADRAFT_74075	A9S3G7_PHYPA	Predicted protein	PHYPADRAFT_74075	GO:0003676; GO:0008270
A9RLB5	PHYPADRAFT_116207	A9RLB5_PHYPA	Predicted protein	PHYPADRAFT_116207	GO:0015969
A9RR31	PHYPADRAFT_69451	A9RR31_PHYPA	Predicted protein	PHYPADRAFT_69451	
A9SLP7	PHYPADRAFT_230096	A9SLP7_PHYPA	Predicted protein	PHYPADRAFT_230096	
A9SC14	PHYPADRAFT_183259	A9SC14_PHYPA	S-acyltransferase (EC 2.3.1.225) (Palmitoyltransferase) (Fragment)	PHYPADRAFT_183259	GO:0016021; GO:0019706; GO:0008270
A9SWE4	PHYPADRAFT_136379	A9SWE4_PHYPA	Predicted protein	PHYPADRAFT_136379	GO:0003676; GO:0000166; GO:0008270
A9T3I5	PHYPADRAFT_87604	A9T3I5_PHYPA	Predicted protein	PHYPADRAFT_87604	
A9T9E9	PHYPADRAFT_168769	A9T9E9_PHYPA	Predicted protein	PHYPADRAFT_168769	
A9T913	PHYPADRAFT_89668	A9T913_PHYPA	Predicted protein	PHYPADRAFT_89668	
A9TF59	PHYPADRAFT_194487	A9TF59_PHYPA	Predicted protein	PHYPADRAFT_194487	GO:0003824
A9TZ77	PHYPADRAFT_99229	A9TZ77_PHYPA	Predicted protein	PHYPADRAFT_99229	
A9T4U0	PHYPADRAFT_88088	A9T4U0_PHYPA	Predicted protein	PHYPADRAFT_88088	
A9TDI3	PHYPADRAFT_91343	A9TDI3_PHYPA	Predicted protein	PHYPADRAFT_91343	
A9RPM1	PHYPADRAFT_69108	A9RPM1_PHYPA	Predicted protein	PHYPADRAFT_69108	
A9RY35	PHYPADRAFT_121329	A9RY35_PHYPA	Predicted protein	PHYPADRAFT_121329	
A9TGC4	PHYPADRAFT_145125	A9TGC4_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_145125	
A9TPL0	PHYPADRAFT_224233	A9TPL0_PHYPA	Beta-adaptin-like protein	PHYPADRAFT_224233	GO:0030131; GO:0006886; GO:0008565; GO:0016192
A9TVG9	PHYPADRAFT_172186	A9TVG9_PHYPA	Predicted protein	PHYPADRAFT_172186	
A9ST38	PHYPADRAFT_235054	A9ST38_PHYPA	ATP-binding cassette transporter, subfamily A-like, member 8 protein PpABCA8	ppabca8 PHYPADRAFT_235054	GO:0005524; GO:0016021; GO:0005215
A9T3N6	PHYPADRAFT_87658	A9T3N6_PHYPA	Predicted protein	PHYPADRAFT_87658	
A9U378	PHYPADRAFT_200781	A9U378_PHYPA	Predicted protein	PHYPADRAFT_200781	GO:0000166; GO:0005840; GO:0003735; GO:0006412
A9U532	PHYPADRAFT_173712	A9U532_PHYPA	Predicted protein	PHYPADRAFT_173712	
A9U404	PHYPADRAFT_173552	A9U404_PHYPA	Predicted protein	PHYPADRAFT_173552	GO:0016491
A9STG2	PHYPADRAFT_135141	A9STG2_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_135141	GO:0003677; GO:0006355
A9U7U8	PHYPADRAFT_158293	A9U7U8_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_158293	GO:0006629
A9RCJ6	PHYPADRAFT_64547	A9RCJ6_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_64547	
A9SY44	PHYPADRAFT_137240	A9SY44_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_137240	GO:0003676; GO:0000166
A9SWL6	PHYPADRAFT_136438	A9SWL6_PHYPA	Predicted protein	PHYPADRAFT_136438	GO:0006633; GO:0016790
A9U6K6	PHYPADRAFT_157753	A9U6K6_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_157753	
A9RG98	PHYPADRAFT_158888	A9RG98_PHYPA	Uncharacterized protein	PHYPADRAFT_158888	
A9RHT3	PHYPADRAFT_66411	A9RHT3_PHYPA	Predicted protein	PHYPADRAFT_66411	GO:0003676; GO:0008270
A9U7Y6	PHYPADRAFT_104129	A9U7Y6_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_104129	
A9TFU5	PHYPADRAFT_92210	A9TFU5_PHYPA	Predicted protein	PHYPADRAFT_92210	GO:0005524; GO:0008026; GO:0006310; GO:0003676
A9SXW9	PHYPADRAFT_235148	A9SXW9_PHYPA	Predicted protein	PHYPADRAFT_235148	GO:0016021
A9THR3	PHYPADRAFT_170139	A9THR3_PHYPA	Predicted protein	PHYPADRAFT_170139	
A9RGV0	PHYPADRAFT_65942	A9RGV0_PHYPA	Predicted protein	PHYPADRAFT_65942	
A9SYN9	PHYPADRAFT_85766	A9SYN9_PHYPA	Predicted protein	PHYPADRAFT_85766	
A9RIE0	PHYPADRAFT_159259	A9RIE0_PHYPA	Predicted protein	PHYPADRAFT_159259	
A9RN39	PHYPADRAFT_160077	A9RN39_PHYPA	Predicted protein	PHYPADRAFT_160077	GO:0005524; GO:0005737; GO:0016879; GO:0008033
A9RB30	PHYPADRAFT_63744	A9RB30_PHYPA	Uncharacterized protein	PHYPADRAFT_63744	
A9RRV6	PHYPADRAFT_160600	A9RRV6_PHYPA	Predicted protein	PHYPADRAFT_160600	GO:0015109
A9RKN9	PHYPADRAFT_67433	A9RKN9_PHYPA	Predicted protein	PHYPADRAFT_67433	
A9RF70	PHYPADRAFT_113222	A9RF70_PHYPA	Predicted protein	PHYPADRAFT_113222	
A9RN78	PHYPADRAFT_68365	A9RN78_PHYPA	Predicted protein	PHYPADRAFT_68365	
A9SAG6	PHYPADRAFT_163811	A9SAG6_PHYPA	Predicted protein	PHYPADRAFT_163811	
A9U2P5	PHYPADRAFT_100883	A9U2P5_PHYPA	Predicted protein	PHYPADRAFT_100883	
A9S1V6	PHYPADRAFT_49632	A9S1V6_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_49632	GO:0045454; GO:0009055; GO:0015035
A9RFC5	PHYPADRAFT_65370	A9RFC5_PHYPA	Predicted protein	PHYPADRAFT_65370	
A9RXU6	PHYPADRAFT_71958	A9RXU6_PHYPA	Predicted protein	PHYPADRAFT_71958	
A9RS29	PHYPADRAFT_69812	A9RS29_PHYPA	Predicted protein	PHYPADRAFT_69812	
A9SDM1	PHYPADRAFT_77948	A9SDM1_PHYPA	Predicted protein	PHYPADRAFT_77948	
A9SEE7	PHYPADRAFT_164526	A9SEE7_PHYPA	Predicted protein	PHYPADRAFT_164526	
A9SPX9	PHYPADRAFT_133289	A9SPX9_PHYPA	Predicted protein	PHYPADRAFT_133289	GO:0008270
A9SJH6	PHYPADRAFT_165287	A9SJH6_PHYPA	Predicted protein	PHYPADRAFT_165287	
A9SVG0	PHYPADRAFT_84513	A9SVG0_PHYPA	Predicted protein	PHYPADRAFT_84513	
A9RR99	PHYPADRAFT_69588	A9RR99_PHYPA	Predicted protein	PHYPADRAFT_69588	
A9T1R7	PHYPADRAFT_86935	A9T1R7_PHYPA	Predicted protein	PHYPADRAFT_86935	
A9T6K4	PHYPADRAFT_88754	A9T6K4_PHYPA	Uncharacterized protein	PHYPADRAFT_88754	
A9RFD2	PHYPADRAFT_113252	A9RFD2_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_113252	
A9TCV9	PHYPADRAFT_91106	A9TCV9_PHYPA	Nucleosome remodeling factor, p48 subunit	NFC1502 PHYPADRAFT_91106	GO:0005634
A9TBY8	PHYPADRAFT_193635	A9TBY8_PHYPA	Predicted protein	PHYPADRAFT_193635	GO:0005525; GO:0005622; GO:0007264
A9SDY5	PHYPADRAFT_128219	A9SDY5_PHYPA	Predicted protein	PHYPADRAFT_128219	
A9SV87	PHYPADRAFT_84435	A9SV87_PHYPA	Predicted protein	PHYPADRAFT_84435	
A9RPT5	PHYPADRAFT_68934	A9RPT5_PHYPA	Predicted protein	PHYPADRAFT_68934	
A9RP39	PHYPADRAFT_204439	A9RP39_PHYPA	Predicted protein	PHYPADRAFT_204439	
A9RRF6	PHYPADRAFT_69503	A9RRF6_PHYPA	Predicted protein	PHYPADRAFT_69503	
A9TPW7	PHYPADRAFT_95594	A9TPW7_PHYPA	Serine/threonine-protein phosphatase (EC 3.1.3.16)	PHYPADRAFT_95594	GO:0004721
A9TI08	PHYPADRAFT_93018	A9TI08_PHYPA	Predicted protein	PHYPADRAFT_93018	GO:0003677; GO:0005634; GO:0008270
A9TUR3	PHYPADRAFT_97538	A9TUR3_PHYPA	Predicted protein	PHYPADRAFT_97538	
A9TYB2	PHYPADRAFT_172651	A9TYB2_PHYPA	Predicted protein	PHYPADRAFT_172651	
A9TYP7	PHYPADRAFT_199573	A9TYP7_PHYPA	Predicted protein	PHYPADRAFT_199573	
A9TZH3	PHYPADRAFT_153089	A9TZH3_PHYPA	Predicted protein	PHYPADRAFT_153089	GO:0045454; GO:0009055; GO:0015035
A9TI95	PHYPADRAFT_93105	A9TI95_PHYPA	Predicted protein	PHYPADRAFT_93105	
A9SJ89	PHYPADRAFT_80166	A9SJ89_PHYPA	Predicted protein	PHYPADRAFT_80166	
A9U1C9	PHYPADRAFT_100306	A9U1C9_PHYPA	Predicted protein	PHYPADRAFT_100306	
A9SVI5	PHYPADRAFT_84540	A9SVI5_PHYPA	Predicted protein	PHYPADRAFT_84540	
A9U369	PHYPADRAFT_101189	A9U369_PHYPA	Predicted protein	PHYPADRAFT_101189	
A9TVZ0	PHYPADRAFT_98001	A9TVZ0_PHYPA	Predicted protein	PHYPADRAFT_98001	
A9TQU4	PHYPADRAFT_95946	A9TQU4_PHYPA	Predicted protein	PHYPADRAFT_95946	
A9RGB9	PHYPADRAFT_52515	A9RGB9_PHYPA	Uncharacterized protein (Fragment)	PHYPADRAFT_52515	GO:0006950
A9TMV5	PHYPADRAFT_147889	A9TMV5_PHYPA	Predicted protein	PHYPADRAFT_147889	GO:0005975; GO:0004553
A9U585		A9U585_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_102500	
A9TUW2	PHYPADRAFT_225686	A9TUW2_PHYPA	Predicted protein	PHYPADRAFT_225686	GO:0005773
A9TYA5	PHYPADRAFT_98882	A9TYA5_PHYPA	Predicted protein	PHYPADRAFT_98882	
A9U3B9	PHYPADRAFT_155364	A9U3B9_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_155364	GO:0045901; GO:0045905; GO:0043022; GO:0003746
A9TIA1	PHYPADRAFT_93111	A9TIA1_PHYPA	Predicted protein	PHYPADRAFT_93111	
A9RTU0	PHYPADRAFT_70471	A9RTU0_PHYPA	Uncharacterized protein	CHR1509 PHYPADRAFT_70471	GO:0005524; GO:0003677
A9U6W8	PHYPADRAFT_103583	A9U6W8_PHYPA	Predicted protein	PHYPADRAFT_103583	GO:0003677; GO:0009058; GO:0003824; GO:0030170
A9TU31	PHYPADRAFT_97291	A9TU31_PHYPA	Predicted protein	PHYPADRAFT_97291	
A9U5J9	PHYPADRAFT_102708	A9U5J9_PHYPA	Predicted protein	PHYPADRAFT_102708	
A9RSV6	PHYPADRAFT_118853	A9RSV6_PHYPA	Predicted protein	PHYPADRAFT_118853	
A9RVD4	PHYPADRAFT_178472	A9RVD4_PHYPA	Uncharacterized protein	PHYPADRAFT_178472	GO:0005840; GO:0003735; GO:0006412
A9RVQ4	PHYPADRAFT_71260	A9RVQ4_PHYPA	Predicted protein	PHYPADRAFT_71260	
A9RVD8	PHYPADRAFT_71135	A9RVD8_PHYPA	Predicted protein	PHYPADRAFT_71135	GO:0016772
A9U6B9	PHYPADRAFT_103131	A9U6B9_PHYPA	Predicted protein	PHYPADRAFT_103131	GO:0003676; GO:0008270
A9U550	PHYPADRAFT_102372	A9U550_PHYPA	Predicted protein	PHYPADRAFT_102372	
A9S3K8	PHYPADRAFT_74118	A9S3K8_PHYPA	Predicted protein	PHYPADRAFT_74118	
A9RUI8	PHYPADRAFT_70732	A9RUI8_PHYPA	Predicted protein	PHYPADRAFT_70732	
A9S067	PHYPADRAFT_72846	A9S067_PHYPA	Predicted protein	PHYPADRAFT_72846	
A9RJ80	PHYPADRAFT_115154	A9RJ80_PHYPA	Predicted protein	PHYPADRAFT_115154	
A9RZS7	PHYPADRAFT_72690	A9RZS7_PHYPA	Predicted protein	PHYPADRAFT_72690	
A9S3G3	PHYPADRAFT_74072	A9S3G3_PHYPA	Predicted protein	PHYPADRAFT_74072	
A9TS97	PHYPADRAFT_149712	A9TS97_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_149712	
A9S3V2	PHYPADRAFT_74217	A9S3V2_PHYPA	Predicted protein	PHYPADRAFT_74217	
A9TYL2	PHYPADRAFT_98997	A9TYL2_PHYPA	Predicted protein	PHYPADRAFT_98997	
A9TVI0	PHYPADRAFT_172191	A9TVI0_PHYPA	Predicted protein	PHYPADRAFT_172191	
A9S908	PHYPADRAFT_76167	A9S908_PHYPA	Predicted protein	PHYPADRAFT_76167	
A9SBS0	PHYPADRAFT_183177	A9SBS0_PHYPA	S-acyltransferase (EC 2.3.1.225) (Palmitoyltransferase)	PHYPADRAFT_183177	GO:0016021; GO:0019706; GO:0008270
A9RNL9	PHYPADRAFT_68606	A9RNL9_PHYPA	Predicted protein	PHYPADRAFT_68606	
A9RHT1	PHYPADRAFT_66409	A9RHT1_PHYPA	Predicted protein	PHYPADRAFT_66409	
A9SC21	PHYPADRAFT_77323	A9SC21_PHYPA	Predicted protein	PHYPADRAFT_77323	
A9S3Q7	PHYPADRAFT_180906	A9S3Q7_PHYPA	ATP-binding cassette transporter, subfamily A, member 4, group ATH protein PpABCA4	ppabca4 PHYPADRAFT_180906	GO:0005524; GO:0016887; GO:0016021; GO:0005215
A9S137	PHYPADRAFT_73190	A9S137_PHYPA	Predicted protein	PHYPADRAFT_73190	GO:0003676; GO:0008270
A9TMZ8	PHYPADRAFT_196555	A9TMZ8_PHYPA	Predicted protein	PHYPADRAFT_196555	GO:0016020; GO:0008654; GO:0016780
A9SCS1	PHYPADRAFT_127593	A9SCS1_PHYPA	Predicted protein	PHYPADRAFT_127593	GO:0000287; GO:0009117; GO:0016791
A9RK09	PHYPADRAFT_67159	A9RK09_PHYPA	Predicted protein	PHYPADRAFT_67159	
A9S523	PHYPADRAFT_74686	A9S523_PHYPA	Predicted protein	PHYPADRAFT_74686	GO:0003676; GO:0008270
A9S4T2	PHYPADRAFT_74590	A9S4T2_PHYPA	Predicted protein	PHYPADRAFT_74590	GO:0003676; GO:0008270
A9SAY1	PHYPADRAFT_33011	A9SAY1_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_33011	GO:0016021; GO:0055085
A9S951	PHYPADRAFT_76214	A9S951_PHYPA	Predicted protein	PHYPADRAFT_76214	GO:0003676; GO:0008270
A9U243	PHYPADRAFT_173252	A9U243_PHYPA	Predicted protein	PHYPADRAFT_173252	
A9U3K4	PHYPADRAFT_101387	A9U3K4_PHYPA	Predicted protein	PHYPADRAFT_101387	
A9SH66	PHYPADRAFT_79377	A9SH66_PHYPA	Predicted protein	PHYPADRAFT_79377	GO:0003676; GO:0008270
A9TZ26	PHYPADRAFT_152915	A9TZ26_PHYPA	Predicted protein	PHYPADRAFT_152915	
A9RYK1	PHYPADRAFT_121602	A9RYK1_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_121602	
A9SN23	PHYPADRAFT_81605	A9SN23_PHYPA	Predicted protein	PHYPADRAFT_81605	
A9RT03	PHYPADRAFT_70164	A9RT03_PHYPA	Predicted protein	PHYPADRAFT_70164	
A9SUM4	PHYPADRAFT_166653	A9SUM4_PHYPA	Predicted protein	PHYPADRAFT_166653	
A9RTB3	PHYPADRAFT_70279	A9RTB3_PHYPA	Predicted protein	PHYPADRAFT_70279	
A9U7M8		A9U7M8_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_158238	GO:0016021
A9RE86	PHYPADRAFT_112472	A9RE86_PHYPA	Predicted protein	PHYPADRAFT_112472	
A9RHS6	PHYPADRAFT_27306	A9RHS6_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_27306	
A9RD23	PHYPADRAFT_64308	A9RD23_PHYPA	Predicted protein	PHYPADRAFT_64308	
A9SA89	PHYPADRAFT_53043	A9SA89_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_53043	
A9RPQ8	PHYPADRAFT_68920	A9RPQ8_PHYPA	Predicted protein	PHYPADRAFT_68920	
A9T605	PHYPADRAFT_88533	A9T605_PHYPA	Predicted protein	PHYPADRAFT_88533	
A9REN0	PHYPADRAFT_54209	A9REN0_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_54209	
A9RIK4	PHYPADRAFT_66604	A9RIK4_PHYPA	Predicted protein	PHYPADRAFT_66604	
A9SH54	PHYPADRAFT_79364	A9SH54_PHYPA	Predicted protein	PHYPADRAFT_79364	
A9RRW9	PHYPADRAFT_160606	A9RRW9_PHYPA	Predicted protein	PHYPADRAFT_160606	
A9RED2	PHYPADRAFT_112427	A9RED2_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_112427	
A5Y5B0		A5Y5B0_PHYPA	Rhd6-like 5 (Fragment)		
A9TZA3	PHYPADRAFT_153022	A9TZA3_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_153022	
A9RVK9	PHYPADRAFT_35064	A9RVK9_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_35064	
A9SE40	PHYPADRAFT_164468	A9SE40_PHYPA	Predicted protein	PHYPADRAFT_164468	
A9RNG8	PHYPADRAFT_68461	A9RNG8_PHYPA	Predicted protein	PHYPADRAFT_68461	
A9S1N7	PHYPADRAFT_73296	A9S1N7_PHYPA	Predicted protein	PHYPADRAFT_73296	
A9RT63	PHYPADRAFT_70227	A9RT63_PHYPA	Predicted protein	PHYPADRAFT_70227	
A9S4D7	PHYPADRAFT_74399	A9S4D7_PHYPA	Predicted protein	PHYPADRAFT_74399	GO:0003677
A9RTM7	PHYPADRAFT_70400	A9RTM7_PHYPA	Uncharacterized protein	PHYPADRAFT_70400	
A9S4D2	PHYPADRAFT_74394	A9S4D2_PHYPA	Predicted protein	PHYPADRAFT_74394	
A9SDU2	PHYPADRAFT_78034	A9SDU2_PHYPA	Predicted protein	PHYPADRAFT_78034	
A9SGJ2	PHYPADRAFT_18607	A9SGJ2_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_18607	GO:0004857; GO:0030599
A9SFI4	PHYPADRAFT_78653	A9SFI4_PHYPA	Predicted protein	PHYPADRAFT_78653	
A9S8D0	PHYPADRAFT_125747	A9S8D0_PHYPA	Predicted protein	PHYPADRAFT_125747	GO:0003824
A9S0S0	PHYPADRAFT_73065	A9S0S0_PHYPA	Predicted protein	PHYPADRAFT_73065	
A9S3S5	PHYPADRAFT_123708	A9S3S5_PHYPA	Predicted protein	PHYPADRAFT_123708	GO:0045454; GO:0005783; GO:0016853
A9T5K4	PHYPADRAFT_41855	A9T5K4_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_41855	
A9T7A4	PHYPADRAFT_89028	A9T7A4_PHYPA	Predicted protein	PHYPADRAFT_89028	
A9SXX4	PHYPADRAFT_85459	A9SXX4_PHYPA	Predicted protein	PHYPADRAFT_85459	
A9T631	PHYPADRAFT_88565	A9T631_PHYPA	Predicted protein	PHYPADRAFT_88565	
A9T824	PHYPADRAFT_141704	A9T824_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_141704	GO:0003676; GO:0000166
A9RTL8	PHYPADRAFT_177980	A9RTL8_PHYPA	Predicted protein	PHYPADRAFT_177980	
A9RDG0	PHYPADRAFT_111847	A9RDG0_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_111847	GO:0005634
A9TBZ6	PHYPADRAFT_90771	A9TBZ6_PHYPA	Predicted protein	PHYPADRAFT_90771	
A9RNJ1	PHYPADRAFT_176757	A9RNJ1_PHYPA	Predicted protein	PHYPADRAFT_176757	GO:0005840; GO:0003735; GO:0006412
A9TH75	PHYPADRAFT_92728	A9TH75_PHYPA	Predicted protein	PHYPADRAFT_92728	
A9TFP9	PHYPADRAFT_92164	A9TFP9_PHYPA	Predicted protein	PHYPADRAFT_92164	
A9T6Q9	PHYPADRAFT_168395	A9T6Q9_PHYPA	Predicted protein	PHYPADRAFT_168395	
A9T0C3	PHYPADRAFT_86410	A9T0C3_PHYPA	Predicted protein	PHYPADRAFT_86410	
A9TMA3	PHYPADRAFT_94597	A9TMA3_PHYPA	Predicted protein	PHYPADRAFT_94597	
A9T074	PHYPADRAFT_138308	A9T074_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_138308	GO:0003677; GO:0005634; GO:0003700; GO:0006351
A9TR83	PHYPADRAFT_197469	A9TR83_PHYPA	Predicted protein	PHYPADRAFT_197469	
A9TMI9	PHYPADRAFT_94686	A9TMI9_PHYPA	Predicted protein	PHYPADRAFT_94686	
A9RGF8	PHYPADRAFT_65791	A9RGF8_PHYPA	Uncharacterized protein	PHYPADRAFT_65791	
A9TSW6	PHYPADRAFT_150048	A9TSW6_PHYPA	Predicted protein	PHYPADRAFT_150048	
A9TTC4	PHYPADRAFT_96868	A9TTC4_PHYPA	Predicted protein	PHYPADRAFT_96868	
A9TU79	PHYPADRAFT_97339	A9TU79_PHYPA	Predicted protein	PHYPADRAFT_97339	
A9TC01	PHYPADRAFT_169236	A9TC01_PHYPA	Predicted protein	PHYPADRAFT_169236	
A9T5A1	PHYPADRAFT_88256	A9T5A1_PHYPA	Predicted protein	PHYPADRAFT_88256	
A9TQ44	PHYPADRAFT_95673	A9TQ44_PHYPA	Predicted protein	PHYPADRAFT_95673	
A9TAB7	PHYPADRAFT_90136	A9TAB7_PHYPA	Predicted protein	PHYPADRAFT_90136	
A9U4E3	PHYPADRAFT_101924	A9U4E3_PHYPA	Predicted protein	PHYPADRAFT_101924	
A9SY71	PHYPADRAFT_234439	A9SY71_PHYPA	Predicted protein	PHYPADRAFT_234439	
A9TZ74	PHYPADRAFT_152956	A9TZ74_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_152956	
A9TSQ4	PHYPADRAFT_149960	A9TSQ4_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_149960	GO:0003876; GO:0032264
A9RF95	PHYPADRAFT_62233	A9RF95_PHYPA	Predicted protein	PHYPADRAFT_62233	
A9U0I1	PHYPADRAFT_99898	A9U0I1_PHYPA	Predicted protein	PHYPADRAFT_99898	
A9U088	PHYPADRAFT_153687	A9U088_PHYPA	Predicted protein	PHYPADRAFT_153687	
A9TM38	PHYPADRAFT_147591	A9TM38_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_147591	GO:0016874; GO:0004842
A9RBK1	PHYPADRAFT_111283	A9RBK1_PHYPA	Uncharacterized protein (Fragment)	PHYPADRAFT_111283	
A9RCK5	PHYPADRAFT_111512	A9RCK5_PHYPA	Predicted protein	PHYPADRAFT_111512	
A9REB1	PHYPADRAFT_112487	A9REB1_PHYPA	Ammonium transporter	PHYPADRAFT_112487	GO:0008519; GO:0016021
A9SPJ9	PHYPADRAFT_133207	A9SPJ9_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_133207	
A9SKT2	PHYPADRAFT_233549	A9SKT2_PHYPA	Predicted protein	PHYPADRAFT_233549	
A9RCS0	PHYPADRAFT_111740	A9RCS0_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_111740	GO:0070569
A9TI69	PHYPADRAFT_145977	A9TI69_PHYPA	Predicted protein	PHYPADRAFT_145977	
A9U261	PHYPADRAFT_100606	A9U261_PHYPA	Predicted protein	PHYPADRAFT_100606	
A9STJ8	PHYPADRAFT_83801	A9STJ8_PHYPA	Predicted protein	PHYPADRAFT_83801	
A9RIC5	PHYPADRAFT_175154	A9RIC5_PHYPA	Predicted protein	PHYPADRAFT_175154	GO:0005086
A9RBJ4	PHYPADRAFT_38941	A9RBJ4_PHYPA	Uncharacterized protein (Fragment)	PHYPADRAFT_38941	GO:0010333
A9RC63	PHYPADRAFT_64413	A9RC63_PHYPA	Predicted protein	PHYPADRAFT_64413	
A9U3K8	PHYPADRAFT_101392	A9U3K8_PHYPA	Predicted protein	PHYPADRAFT_101392	
A9U822	PHYPADRAFT_104179	A9U822_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_104179	GO:0016020; GO:0009847
M1GSD1		M1GSD1_PHYPA	Arginine/serine-rich splicing factor SCL33 transcript II	SCL33	GO:0003676 GO:0000166
A9S5P9	PHYPADRAFT_74922	A9S5P9_PHYPA	Predicted protein	PHYPADRAFT_74922	
A9RYH2	PHYPADRAFT_72336	A9RYH2_PHYPA	Predicted protein	PHYPADRAFT_72336	
A9RK53	PHYPADRAFT_67211	A9RK53_PHYPA	Predicted protein	PHYPADRAFT_67211	
A9SUM1	PHYPADRAFT_84195	A9SUM1_PHYPA	Predicted protein	PHYPADRAFT_84195	
A9S4Y3	PHYPADRAFT_162879	A9S4Y3_PHYPA	Predicted protein	PHYPADRAFT_162879	GO:0016021
A9SXC1	PHYPADRAFT_231469	A9SXC1_PHYPA	Predicted protein	PHYPADRAFT_231469	GO:0016747
A9SZP1	PHYPADRAFT_86115	A9SZP1_PHYPA	Predicted protein	PHYPADRAFT_86115	GO:0015450; GO:0016020; GO:0006605
A9RJE6	PHYPADRAFT_55477	A9RJE6_PHYPA	Predicted protein	PHYPADRAFT_55477	
A9TB95	PHYPADRAFT_90504	A9TB95_PHYPA	Predicted protein	PHYPADRAFT_90504	
A9SEX8	PHYPADRAFT_229142	A9SEX8_PHYPA	Predicted protein	PHYPADRAFT_229142	
A9T2G7	PHYPADRAFT_190982	A9T2G7_PHYPA	Predicted protein	PHYPADRAFT_190982	GO:0016021; GO:0055085
A9S246	PHYPADRAFT_122951	A9S246_PHYPA	Predicted protein	PHYPADRAFT_122951	GO:0000287; GO:0009165; GO:0004749
A9T5Q5	PHYPADRAFT_140682	A9T5Q5_PHYPA	Predicted protein	PHYPADRAFT_140682	GO:0030246; GO:0005975; GO:0016853
A9RZR6	PHYPADRAFT_122102	A9RZR6_PHYPA	Predicted protein	PHYPADRAFT_122102	GO:0006355; GO:0008270
A9TFM8	PHYPADRAFT_92141	A9TFM8_PHYPA	Predicted protein	PHYPADRAFT_92141	
A9TET6	PHYPADRAFT_91829	A9TET6_PHYPA	Predicted protein	PHYPADRAFT_91829	
A9S5Y8	PHYPADRAFT_75017	A9S5Y8_PHYPA	Predicted protein	PHYPADRAFT_75017	
A9TWC2	PHYPADRAFT_198924	A9TWC2_PHYPA	Glutamine synthetase (EC 6.3.1.2)	PHYPADRAFT_198924	GO:0005524; GO:0004356; GO:0006542
A9TBT7	PHYPADRAFT_143256	A9TBT7_PHYPA	Predicted protein (Fragment)	PHYPADRAFT_143256	
A9RB02	PHYPADRAFT_158437	A9RB02_PHYPA	Uncharacterized protein	PHYPADRAFT_158437	
A9SAQ3	PHYPADRAFT_163853	A9SAQ3_PHYPA	Predicted protein	PHYPADRAFT_163853	GO:0004871
A9TX07	PHYPADRAFT_98412	A9TX07_PHYPA	Predicted protein	PHYPADRAFT_98412	
A9RDS8	PHYPADRAFT_64744	A9RDS8_PHYPA	Predicted protein	PHYPADRAFT_64744	
A9RDU4	PHYPADRAFT_64771	A9RDU4_PHYPA	Predicted protein	PHYPADRAFT_64771	
A9U5H2	PHYPADRAFT_102653	A9U5H2_PHYPA	Predicted protein	PHYPADRAFT_102653	GO:0003676; GO:0008270
A9U1M3	PHYPADRAFT_100407	A9U1M3_PHYPA	Predicted protein	PHYPADRAFT_100407	
A9RDB1	PHYPADRAFT_64562	A9RDB1_PHYPA	Predicted protein	PHYPADRAFT_64562	
A9RFW3	PHYPADRAFT_65586	A9RFW3_PHYPA	Uncharacterized protein	PHYPADRAFT_65586	
A9TYM1	PHYPADRAFT_99006	A9TYM1_PHYPA	Predicted protein	PHYPADRAFT_99006	
A9RDD5	PHYPADRAFT_64588	A9RDD5_PHYPA	Predicted protein	PHYPADRAFT_64588	
